group_id,no_defection,walk_away,cascade,intermittent,full
G1,0,1,0,0,0
G2,0,0,0,1,0
G3,0,0,1,0,0
G4,0,1,0,0,0
G5,0,0,0,1,0
G6,0,0,0,1,0
G7,0,0,0,1,0
G8,1,0,0,0,0
G9,0,0,0,1,0
G10,0,0,0,1,0
G11,0,1,0,0,0
G12,0,0,0,1,0
G13,0,0,0,1,0
G14,1,0,0,0,0
G15,1,0,0,0,0
G16,0,0,0,1,0
G17,0,0,0,1,0
G18,0,0,0,1,0
G19,0,0,0,1,0
G20,0,0,0,1,0
G21,0,0,0,1,0
G22,0,0,0,1,0
G23,0,1,0,0,0
G24,0,0,0,1,0
G25,0,0,1,0,0
G26,0,0,0,1,0
G27,0,0,0,0,1
G28,0,1,0,0,0
G29,0,0,0,1,0
G30,0,0,1,0,0
G31,0,0,0,1,0
G32,0,1,0,0,0
G33,0,0,0,1,0
G34,0,0,0,1,0
G35,0,0,0,1,0
